url,compressed_size,decompressed_size,time
2345.com,21507,76162,0.4360342025756836
americanexpress.com,14571,71865,0.3656196594238281
amazon.ca,43897,183699,1.0155105590820312
enet.com.cn,29111,150312,0.6769061088562012
1channel.ch,10047,40056,0.30103445053100586
histats.com,6336,34964,0.24445772171020505
qunar.com,20404,94776,0.4623889923095703
daum.net,36136,146742,0.6943225860595703
zhaopin.com,22134,109435,0.5483341217041016
google.no,27216,97871,0.5329132080078125
dell.com,10235,75831,0.39531946182250977
justdial.com,9754,39798,0.3362131118774414
mobile.de,15265,68427,0.4401540756225586
google.co.il,20259,64371,0.40070295333862305
pogo.com,18676,118373,0.45761585235595703
nuvid.com,7906,31994,0.25871992111206055
vancl.com,44420,196304,0.8374190330505371
ebay.it,15858,75528,0.3880929946899414
friv.com,962,1878,0.03655433654785156
empowernetwork.com,4166,11541,0.1405930519104004
hupu.com,35804,182276,0.735161304473877
google.dk,28351,101264,0.6463122367858887
sahibinden.com,16220,61618,0.3719663619995117
shopathome.com,25543,168924,0.5617022514343262
disqus.com,10856,33107,0.25766611099243164
mashable.com,53664,165365,0.8845114707946777
taleo.net,9241,31506,0.20324468612670898
10086.cn,1387,3557,0.05246877670288086
mp3skull.com,4270,17087,0.1634526252746582
accuweather.com,17492,87426,0.4842090606689453
ebay.in,14452,64935,0.36796092987060547
admin5.com,13814,58090,0.33691883087158203
google.fi,28629,102089,0.6446170806884766
18schoolgirlz.com,6367,72248,0.21840810775756836
qidian.com,38765,129194,0.7099342346191406
xgo.com.cn,58516,412388,1.3097643852233887
blogspot.gr,27908,100425,0.5988454818725586
php.net,9153,53028,0.25147199630737305
shutterstock.com,12614,54058,0.332033634185791
rapidgator.net,4982,15681,0.15806913375854492
myfreecams.com,891,1704,0.03359079360961914
constantcontact.com,7851,30571,0.2070760726928711
alimama.com,4099,15408,0.1380634307861328
icicibank.com,8579,40379,0.25870323181152344
spankwire.com,37464,373534,1.0102295875549316
sfr.fr,15260,72892,0.4011988639831543
